Name,Full Name,HTML URL,Description,Language,Created At,Updated At,Stargazers Count,Forks Count,Watchers Count,Open Issues Count,Default Branch,Owner Login,Owner Avatar URL,Owner HTML URL
golang-cc,Teyik0/golang-cc,https://github.com/Teyik0/golang-cc,,Go,2023-09-28T08:10:02Z,2023-09-28T10:13:00Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
ReactNative-sample,Teyik0/ReactNative-sample,https://github.com/Teyik0/ReactNative-sample,,TypeScript,2023-06-13T17:36:13Z,2023-09-28T08:01:35Z,1,0,1,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
api-sample-golang,Teyik0/api-sample-golang,https://github.com/Teyik0/api-sample-golang,,Go,2023-09-26T20:30:23Z,2023-09-26T20:30:57Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
go-test,Teyik0/go-test,https://github.com/Teyik0/go-test,,Go,2023-09-25T08:53:16Z,2023-09-25T09:07:21Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
zoo-api-dashboard,Teyik0/zoo-api-dashboard,https://github.com/Teyik0/zoo-api-dashboard,,TypeScript,2023-07-02T11:53:10Z,2023-07-25T07:37:39Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
Cocktail-Bar-Api-Mongoose-Express,Teyik0/Cocktail-Bar-Api-Mongoose-Express,https://github.com/Teyik0/Cocktail-Bar-Api-Mongoose-Express,,TypeScript,2023-07-11T11:55:57Z,2023-07-11T11:57:10Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
casino,Teyik0/casino,https://github.com/Teyik0/casino,,TypeScript,2023-05-02T12:48:08Z,2023-05-04T06:34:50Z,1,0,1,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
Enhanced-ChatGPT-Clone,Teyik0/Enhanced-ChatGPT-Clone,https://github.com/Teyik0/Enhanced-ChatGPT-Clone,,TypeScript,2023-04-13T10:48:34Z,2023-04-13T10:51:54Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
indian-cofee-shop,Teyik0/indian-cofee-shop,https://github.com/Teyik0/indian-cofee-shop,,TypeScript,2022-11-12T12:30:56Z,2023-03-09T12:18:55Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
Theo-old-portfolio,Teyik0/Theo-old-portfolio,https://github.com/Teyik0/Theo-old-portfolio,,JavaScript,2022-07-25T18:45:53Z,2023-02-10T07:44:33Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
srika-store,Teyik0/srika-store,https://github.com/Teyik0/srika-store,,TypeScript,2022-09-13T18:21:23Z,2023-01-18T21:33:31Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
Portfolio,Teyik0/Portfolio,https://github.com/Teyik0/Portfolio,La troisième version de mon portfolio,TypeScript,2023-01-07T11:09:41Z,2023-01-07T11:10:40Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
Teyik0,Teyik0/Teyik0,https://github.com/Teyik0/Teyik0,Config files for my GitHub profile.,,2022-12-07T12:37:24Z,2022-12-07T12:37:24Z,0,0,0,0,main,Teyik0,https://avatars.githubusercontent.com/u/103841897?v=4,https://github.com/Teyik0
